Title,Price,URL
Iphone 6S,99,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-6s/7269935026.html
olloclip 4-IN-1 Lens for iPhone 6/6s and 6/6s Plus,15,https://newyork.craigslist.org/mnh/pho/d/new-york-city-olloclip-in-lens-for/7255845244.html
Iphone 6s and 4s,130,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-6s-and-4s/7267777813.html
Mophie Juice Pack Ultra for iPhone 6S,50,https://newyork.craigslist.org/lgi/ele/d/baldwin-mophie-juice-pack-ultra-for/7260795204.html
BELKIN battery case for IPhone 6/6s/7),100,https://newyork.craigslist.org/brk/mob/d/brooklyn-belkin-battery-case-for-iphone/7269586839.html
Cover case for iphone 6/6s-otter,10,https://newyork.craigslist.org/que/ele/d/middle-village-cover-case-for-iphone-6s/7263722263.html
Cover case for iphone 6/6s-otter,10,https://newyork.craigslist.org/que/ele/d/middle-village-cover-case-for-iphone-6s/7267296749.html
Cover case for iphone 6/6s-otter,10,https://newyork.craigslist.org/que/ele/d/middle-village-cover-case-for-iphone-6s/7269448249.html
CELL PHONE CASES FOR IPHONE 6/6S/6 PLUS,1,https://newyork.craigslist.org/mnh/ele/d/new-york-city-cell-phone-cases-for/7256418177.html
iPhone 6S,200,https://newyork.craigslist.org/lgi/ele/d/holtsville-iphone-6s/7269255477.html
iPhone 6 6s Battery,10,https://newyork.craigslist.org/brk/ele/d/iphone-6s-battery/7265322812.html
IPhone 6s unlocked (like new),120,https://newyork.craigslist.org/brx/mob/d/bronx-iphone-6s-unlocked-like-new/7259584246.html
Unlocked Rose Gold iPhone 6s 128gb,175,https://newyork.craigslist.org/brk/mob/d/brooklyn-unlocked-rose-gold-iphone-6s/7269131798.html
IPHONE 6S 128GB AT&T,170,https://newyork.craigslist.org/que/mob/d/maspeth-iphone-6s-128gb-att/7268981619.html
(New)RoseGold Slot Zipper Pocket Wallet for iPhone 6 Plus/6S Plus,4,https://newyork.craigslist.org/mnh/for/d/brooklyn-newrosegold-slot-zipper-pocket/7261312495.html
IPHONE 6S 128GB AT&T,170,https://newyork.craigslist.org/que/mob/d/maspeth-iphone-6s-128gb-att/7268971101.html
Waterproof iPhone 6S Case with GoPro Style Mount,20,https://newyork.craigslist.org/mnh/for/d/new-york-waterproof-iphone-6s-case-with/7258916800.html
Apple iPhone 6s Plus Rose Gold 64gb T-Mobile Sprint,130,https://newyork.craigslist.org/que/mob/d/elmhurst-apple-iphone-6s-plus-rose-gold/7268929149.html
Apple iPhone 6S A1688 64GB Space Gray Unlocked Battery Case,100,https://newyork.craigslist.org/mnh/ele/d/new-york-apple-iphone-6s-gb-space-gray/7263450225.html
iPhone 6s,100,https://newyork.craigslist.org/que/mob/d/forest-hills-iphone-6s/7254825486.html
Topeak iPhone 6 Plus/6s Plus Waterproof Ridecase,10,https://newyork.craigslist.org/que/bop/d/corona-topeak-iphone-plus-6s-plus/7263254575.html
Bluetooth Shutter Selfie Cases for iPhone 6/6s/7/8 and 6/7/8 Plus,5,https://newyork.craigslist.org/brk/ele/d/brooklyn-bluetooth-shutter-selfie-cases/7268592730.html
Selfie Stick Case for iPhone 6/6S,5,https://newyork.craigslist.org/brk/ele/d/brooklyn-selfie-stick-case-for-iphone-6s/7268593045.html
Leather Phone Case with Belt Clip for iPhone 6/6s/7/8_ Galaxy s6/s7/j3,5,https://newyork.craigslist.org/brk/ele/d/brooklyn-leather-phone-case-with-belt/7268592022.html
iPhone 6S White 64GB Unlocked Looks and Works great,160,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-6s-white-64gb-unlocked/7266702369.html
prynt photo printer case for iPhone 6_ 6s_ 7,30,https://newyork.craigslist.org/mnh/mob/d/new-york-city-prynt-photo-printer-case/7268457505.html
